race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
9,103,10,32,Christian Rose,West Virginia Department of Tourism Ford,17.882,88.077,29,68,1.207
9,149,11,11,Cody Dennison*,Timcast.com Toyota,18.495,85.158,51,56,1.82
9,120,12,99,Michael Maples*,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,18.704,84.207,22,60,2.029
9,202,13,10,Matt Kemp*,ELH Detaling/PSS&C Toyota,18.73,84.09,22,32,2.055
9,201,14,31,Tim Goulet*,Max Buchanan Fndthn/MF Fire Nor Cal Btry Chevrolet,18.969,83.03,5,48,2.294
9,122,15,12,Ryan Roulette*,Bellator Recruiting Academy/VFW Ford,19.094,82.487,48,49,2.419
9,121,16,48,Brad Smith,Copraya.com Ford,19.316,81.539,4,9,2.641
9,107,17,3,Alex Clubb,Race Parts Liquidators Ford,19.492,80.802,17,28,2.817
9,196,18,6,Nate Moeller*,Peterson Motorsports Toyota,19.801,79.541,12,17,3.126
9,198,19,86,Chris Golden,Race Parts Liquidators Ford,20.89,75.395,2,8,4.215
9,148,20,98,Dale Shearer,Shearer Speed Toyota,22.692,69.408,10,11,6.017
10,150,1,18,William Sawalich,Starkey/Sound Gear Toyota,22.397,110.265,35,36,0
10,178,2,28,Connor Zilisch,Chevrolet Performance Chevrolet,22.615,109.202,29,30,0.218
10,111,3,2,Andres Perez,Max Siegel Inc Chevrolet,22.722,108.688,26,27,0.325
10,136,4,25,Toni Breidinger,Raising Cane’s Toyota,22.952,107.598,27,27,0.555
10,151,5,20,Gio Ruggiero,JBL Toyota,23.001,107.369,4,37,0.604
10,114,6,6,Lavar Scott,Max Siegel Inc Chevrolet,23.059,107.099,7,32,0.662
10,186,7,33,Lawless Alan,AutoParkIt Ford,23.321,105.896,2,38,0.924
10,137,8,15,Kris Wright,FNB Corportation Toyota,23.364,105.701,3,36,0.967
10,197,9,95,Andrew Patterson,Carrier/Habegger/Winsupply Toyota,23.41,105.493,29,31,1.013
10,103,10,32,Christian Rose,West Virginia Department of Tourism Ford,23.507,105.058,5,42,1.11
10,185,11,55,Dean Thompson,Thompson Pipe Group Toyota,23.583,104.72,6,39,1.186
10,205,12,35,Timmy Hill,Zaki Ali Personal Injury Attorney Ford,23.647,104.436,19,36,1.25
10,108,13,22,Amber Balcaen,Icon Toyota,23.668,104.343,4,44,1.271
10,117,14,34,Isaac Johnson,George E Booth Co/Endress+Hauser Ford,23.776,103.869,5,51,1.379
